name,rating,review_count,price,latitude,longitude,stars,michelin,latBin,lonBin
Gelso & Grand,4.5,1179,2,40.7194089547259,-73.9973777877722,0,0,40.6,-74.0
Anytime,4.5,1928,2,40.74776270790539,-73.9867793576711,0,0,40.6,-74.0
The Wild Son Lunch Counter,4.5,548,2,40.72737,-73.98525,0,0,40.6,-74.0
Jane Restaurant,4.0,3315,2,40.7273779,-74.00025,0,0,40.6,-74.2
Sunday in Brooklyn,4.0,1033,2,40.71418124017512,-73.96532809508915,0,0,40.6,-74.0
Salt + Charcoal,4.0,628,2,40.71453,-73.9613511,0,0,40.6,-74.0
Raku,4.5,1289,2,40.7264988089246,-73.9866526052356,0,0,40.6,-74.0
AlMar,4.0,466,2,40.702662,-73.989177,0,0,40.6,-74.0
Sweet Chick,4.0,1771,2,40.7217399,-73.98739,0,0,40.6,-74.0
Amélie,4.5,2778,3,40.7327,-73.99766,0,0,40.6,-74.0
Benemon,4.5,642,2,40.72551,-73.98838,0,0,40.6,-74.0
Crab House All You Can Eat Seafood,4.5,327,4,40.759664,-73.969776,0,0,40.6,-74.0
Olio e Più,4.5,3116,2,40.733798036104304,-73.99977392649927,0,0,40.6,-74.0
Cafe Mogador,4.5,1255,2,40.719747,-73.959993,0,0,40.6,-74.0
RH Rooftop Restaurant New York,4.0,547,3,40.73985,-74.00639,0,0,40.6,-74.2
5ive Spice,4.5,500,2,40.722598,-73.996272,0,0,40.6,-74.0
1803,4.0,618,2,40.715498,-74.007178,0,0,40.6,-74.2
CHILI,5.0,197,2,40.75002,-73.98215,0,0,40.6,-74.0
The Four Horsemen,4.5,235,2,40.71305,-73.95732,0,0,40.6,-74.0
Malibu Farm New York,4.0,230,2,40.70576507922938,-74.00150902534304,0,0,40.6,-74.2
Momofuku Ssam Bar,4.0,60,3,40.705476024827576,-74.0016428,0,0,40.6,-74.2
Piccola Cucina Osteria,4.5,627,2,40.72506,-74.00322,0,0,40.6,-74.2
Thai Villa,4.5,4020,2,40.73902,-73.99065,0,0,40.6,-74.0
Noodle Village,4.0,1251,2,40.714167,-73.998803,0,0,40.6,-74.0
Time Out Market New York,3.5,327,2,40.70342863348067,-73.99214637055226,0,0,40.6,-74.0
3 Times,4.5,175,2,40.718271,-73.985209,0,0,40.6,-74.0
The Osprey,4.0,248,2,40.702241,-73.995539,0,0,40.6,-74.0
Al Badawi,5.0,30,2,40.69059,-73.99503,0,0,40.6,-74.0
Raku,4.5,616,2,40.72728,-74.00252,0,0,40.6,-74.2
Juliana's,4.5,2406,2,40.70274718768062,-73.99343490196397,0,0,40.6,-74.0
Pastis,4.0,346,3,40.73928,-74.00695,0,0,40.6,-74.2
Atrium Dumbo,4.0,682,2,40.7033899,-73.9904923,0,0,40.6,-74.0
Nyonya,4.0,2208,2,40.719116974367,-73.9968322948353,0,0,40.6,-74.0
Fishmarket Restaurant,4.5,586,2,40.70717,-74.00192,0,0,40.6,-74.2
nonono,4.0,963,3,40.74545,-73.98499,0,0,40.6,-74.0
Balthazar,4.0,3300,3,40.7226892950401,-73.9982149184027,0,0,40.6,-74.0
Excuse My French,4.5,325,2,40.718437,-73.989807,0,0,40.6,-74.0
Izakaya MEW,4.0,2559,2,40.750148,-73.9863203465939,0,0,40.6,-74.0
Wayla,4.5,471,2,40.7183,-73.9926038,0,0,40.6,-74.0
Boqueria Soho,4.0,1132,2,40.724912,-74.0021299,0,0,40.6,-74.2
hanon,4.5,242,2,40.7134488,-73.9513445,0,0,40.6,-74.0
JeJu Noodle Bar,4.5,733,2,40.73304,-74.00734,0,0,40.6,-74.2
Buvette,4.0,1928,2,40.732704,-74.00434640955953,0,0,40.6,-74.2
Fish Cheeks,4.5,965,2,40.7258,-73.9927,0,0,40.6,-74.0
Tasty Hand-Pulled Noodles,4.0,1697,2,40.7142,-73.99787,0,0,40.6,-74.0
Fish Cheeks,4.5,965,2,40.7258,-73.9927,0,0,40.6,-74.0
Pig and Khao,4.0,1744,3,40.71926,-73.98475,0,0,40.6,-74.0
Evelina,4.5,255,3,40.689722,-73.971003,0,0,40.6,-74.0
DOMODOMO - New York,4.5,1336,3,40.7280299,-74.00167,0,0,40.6,-74.2
Ichibantei,4.0,247,2,40.73063,-73.98275,0,0,40.6,-74.0
Paesano of Mulberry Street,4.0,1145,2,40.718554,-73.997447,0,0,40.6,-74.0
Her Name Is Han,4.5,1465,2,40.7462615966797,-73.984733581543,0,0,40.6,-74.0
Otis,5.0,408,3,40.706011,-73.932598,0,0,40.6,-74.0
Uluh,4.5,647,3,40.7293403,-73.9866071,0,0,40.6,-74.0
San Marzano Pasta Fresca,4.0,1345,2,40.727966,-73.988382,0,0,40.6,-74.0
Ruby's Cafe,4.5,234,2,40.730932,-73.988061,0,0,40.6,-74.0
La Contenta,4.5,821,2,40.71873,-73.98691,0,0,40.6,-74.0
Rabbithole Restaurant,4.0,882,2,40.7122932799856,-73.9628687873483,0,0,40.6,-74.0
Upstate Craft Beer & Oyster Bar,4.5,1954,2,40.726373,-73.986557,0,0,40.6,-74.0
The Leroy House,4.5,141,3,40.73063,-74.00661,0,0,40.6,-74.2
Don Angie,4.5,501,3,40.73778,-74.00197,0,0,40.6,-74.2
Soothr,4.5,425,2,40.732259,-73.987363,0,0,40.6,-74.0
Kimura,4.5,216,2,40.728995,-73.988279,0,0,40.6,-74.0
Les Enfants de Boheme,4.5,295,2,40.7136187,-73.9888503,0,0,40.6,-74.0
Silver Factory,4.5,241,2,40.709227,-73.958598,0,0,40.6,-74.0
While We Were Young,4.0,390,2,40.73437,-74.00272,0,0,40.6,-74.2
Pomp & Circumstance Dining,5.0,106,2,40.714166,-73.949612,0,0,40.6,-74.0
Boucherie West Village,4.5,1967,3,40.733063,-74.0028772,0,0,40.6,-74.2
Lilia,4.0,960,3,40.71757,-73.95236,0,0,40.6,-74.0
Very Fresh Noodles,4.5,1163,2,40.74207,-74.00565,0,0,40.6,-74.2
Taboonette,4.5,916,2,40.7346038818359,-73.9928283691406,0,0,40.6,-74.0
Ippudo NY,4.0,10202,2,40.73092,-73.99015,0,0,40.6,-74.0
Banter,4.5,542,2,40.72787,-74.0010999,0,0,40.6,-74.2
Hole In The Wall,4.5,81,2,40.71444505961235,-73.9615832,0,0,40.6,-74.0
Shuka,4.5,678,3,40.72707,-74.00283,0,0,40.6,-74.2
Kopitiam,4.0,831,2,40.71387,-73.99091,0,0,40.6,-74.0
Hole In The Wall,4.5,656,2,40.70838968823975,-74.00578177901109,0,0,40.6,-74.2
Bohemian Restaurant,4.5,802,3,40.72639,-73.99236,0,0,40.6,-74.0
Usagi NY,4.5,74,2,40.70383,-73.98691,0,0,40.6,-74.0
Wayan,4.5,404,3,40.7213813139202,-73.9950757664721,0,0,40.6,-74.0
Luke's Lobster Brooklyn Bridge Park,4.0,369,2,40.70359,-73.99411,0,0,40.6,-74.0
Root & Bone,4.0,1668,2,40.7228079872831,-73.9833535829059,0,0,40.6,-74.0
Shanghai 21,4.0,1819,2,40.71441,-73.99902,0,0,40.6,-74.0
Tsurutontan Udon Noodle Brasserie,4.0,2096,2,40.73678,-73.9910699,0,0,40.6,-74.0
Em Vietnamese Bistro,4.5,85,2,40.702670064808366,-73.99118578021728,0,0,40.6,-74.0
Pheasant,4.5,88,3,40.7185,-73.9452,0,0,40.6,-74.0
Aurora,4.0,738,2,40.715621,-73.964757,0,0,40.6,-74.0
The Fulton by Jean-Georges,3.5,298,3,40.70540592340679,-74.00120243547804,0,0,40.6,-74.2
Crown Shy,4.0,407,4,40.7063449,-74.0076944,0,0,40.6,-74.2
Win Son,4.0,592,2,40.70747,-73.94339,0,0,40.6,-74.0
Red Hook Tavern,4.0,108,3,40.67788,-74.01209,0,0,40.6,-74.2
Uncle Lou,4.5,97,2,40.71623,-73.99925,0,0,40.6,-74.0
Oxalis,4.5,181,3,40.673109,-73.9626279,0,0,40.6,-74.0
OTB,4.5,153,2,40.710484,-73.963408,0,0,40.6,-74.0
Pasta Louise,4.5,193,2,40.666091,-73.9787254,0,0,40.6,-74.0
Supper,4.0,1396,2,40.72290786539601,-73.98520720537888,0,0,40.6,-74.0
Popina,4.5,77,2,40.687361962701,-74.0014251909241,0,0,40.6,-74.2
Okonomi,4.5,474,2,40.712622,-73.9487843,0,0,40.6,-74.0
FERNS,4.5,137,2,40.72881,-73.98403,0,0,40.6,-74.0
ICHIRAN - Times Square,4.5,555,2,40.76004,-73.9833,0,0,40.6,-74.0
L'Artusi,4.5,2016,3,40.73372,-74.00513,0,0,40.6,-74.2
Olea,4.0,941,2,40.6877844,-73.9706046,0,0,40.6,-74.0
Boucherie Union Square,4.5,1065,3,40.73725824850519,-73.9882252705524,0,0,40.6,-74.0
Frankies 457 Spuntino,4.0,851,3,40.677328,-73.997972,0,0,40.6,-74.0
The River Café,4.0,1189,4,40.70386671305111,-73.99479360219303,0,0,40.6,-74.0
