name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp url
Bistro Na's,2019.0,34.104412,-118.07159,Los Angeles,California,91780,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1.0,https://www.yelp.com/biz/bistro-nas-temple-city-10
Orsa & Winston,2019.0,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1.0,https://www.yelp.com/biz/orsa-and-winston-los-angeles
Taco María,2019.0,33.69475,-117.924965,Costa Mesa,California,92626,Mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1.0,https://www.yelp.com/biz/taco-maria-costa-mesa
Hana re,2019.0,33.67759,-117.886566,Costa Mesa,California,92626,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1.0,https://www.yelp.com/biz/hanare-sushi-costa-mesa?osq=hana+re
Addison,2019.0,32.939903,-117.20013,San Diego,California,92130,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1.0,https://www.yelp.com/biz/addison-san-diego-5?osq=addison
Baumé,2019.0,37.4285,-122.14272,South San Francisco,California,94306,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2.0,https://www.yelp.com/biz/baum%C3%A9-palo-alto-5?osq=baume
Commis,2019.0,37.82476,-122.25505,San Francisco,California,94601,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2.0,https://www.yelp.com/biz/commis-oakland-3?osq=commis
Californios,2019.0,37.75555,-122.417145,San Francisco,California,94110,Mexican,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2.0,https://www.yelp.com/biz/californios-san-francisco
Lazy Bear,2019.0,37.760204,-122.41969,San Francisco,California,94110,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,2.0,https://www.yelp.com/biz/lazy-bear-san-francisco-5
Saison,2019.0,37.76327,-122.41543,San Francisco,California,94107,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,2.0,https://www.yelp.com/biz/saison-san-francisco-2
