name,year,latitude,longitude,city,region,zipCode,cuisine,price_range,url,stars
Noda,2019,40.74497,-73.988075,New_York,New_York_City,10001,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noda,1
Gramercy_Tavern,2019,40.73849,-73.98868,New_York,New_York_City,10003,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gramercy-tavern,1
The_Clocktower,2019,40.7414,-73.987595,New_York,New_York_City,10010,Contemporary,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-clocktower,1
Ai_Fiori,2019,40.75013,-73.98357,New_York,New_York_City,10018,Italian,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ai-fiori,1
Casa_Mono,2019,40.73595,-73.98706,New_York,New_York_City,10003,Spanish,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/casa-mono,1
Jewel_Bako,2019,40.72713,-73.98928,New_York,New_York_City,10003,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jewel-bako,1
The_River_Café,2019,40.703613,-73.994774,New_York,New_York_City,11201,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-river-cafe,1
Bar_Uchū,2019,40.72191,-73.99003,New_York,New_York_City,10002,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/bar-uchu,1
Café_China,2019,40.749973,-73.98228,New_York,New_York_City,10016,Chinese,2,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/cafe-china,1
Kanoyama,2019,40.73071,-73.98655,New_York,New_York_City,10003,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kanoyama,1
Contra,2019,40.719917,-73.98922,New_York,New_York_City,10002,Contemporary,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/contra,1
Atomix,2019,40.744408,-73.98292,New_York,New_York_City,10016,Korean,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atomix,1
Kyo_Ya,2019,40.7266,-73.98526,New_York,New_York_City,10009,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kyo-ya,1
Kajitsu,2019,40.72776,-73.98428,New_York,New_York_City,10016,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/kajitsu,1
