name,review_count,rating,price_rating,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars,yelp_url
Hayato,105,4.5,4,2019,34.03311,-118.24265,Los_Angeles,California,90001,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1,https://www.yelp.com/biz/hayato-los-angeles-3
Bistro_Na's,1128,4,2,2019,34.104412,-118.07159,Los_Angeles,California,91780,Chinese,2,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1,https://www.yelp.com/biz/bistro-nas-temple-city-10
Orsa_&_Winston,535,4,4,2019,33.92145,-118.275406,Los_Angeles,California,90013,Fusion,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1,https://www.yelp.com/biz/orsa-and-winston-los-angeles
Addison,478,4.5,4,2019,32.939903,-117.20013,San_Diego,California,92130,Contemporary,4,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1,https://www.yelp.com/biz/addison-san-diego-5?osq=addison
Baumé,342,3.5,4,2019,37.4285,-122.14272,South_San_Francisco,California,94306,Contemporary,4,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/baume,2,https://www.yelp.com/biz/baum%C3%A9-palo-alto-5?osq=baume
Commis,1059,4.5,4,2019,37.82476,-122.25505,San_Francisco,California,94601,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/commis,2,https://www.yelp.com/biz/commis-oakland-3?osq=commis
Californios,326,4.5,4,2019,37.75555,-122.417145,San_Francisco,California,94110,Mexican,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/californios,2,https://www.yelp.com/biz/californios-san-francisco
Lazy_Bear,693,4.5,4,2019,37.760204,-122.41969,San_Francisco,California,94110,Contemporary,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lazy-bear,2,https://www.yelp.com/biz/lazy-bear-san-francisco-5
Saison,570,4,4,2019,37.76327,-122.41543,San_Francisco,California,94107,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/saison,2,https://www.yelp.com/biz/saison-san-francisco-2
Campton_Place,738,4,4,2019,37.78923,-122.40665,San_Francisco,California,94108,Indian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/campton-place,2,https://www.yelp.com/biz/campton-place-san-francisco
